ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
NE01065,41.313,-96.137001,STANDING BEAR DAM,1124,dam_study,True,False,True,True,True,True,5.842456,Low (4),20160804
WV09903,38.30404199,-82.41607111,BEECH FORK DAM,4293,dam_study,True,False,True,True,True,True,5.968604,Moderate (3),20200428
NE01055,40.76686396,-96.84560443,CONESTOGA DAM,168,dam_study,True,False,True,True,True,True,5.984181,Low (4),20150402
ID00319,48.17958153,-116.999649,ALBENI FALLS DAM,126,dam_study,True,False,True,True,True,True,5.990704,Low (4),20160806
IL00005,40.671299,-89.500504,FARMDALE DAM,1113,dam_study,True,False,True,False,False,True,6.045403,Low (4),20170301
MA00962,42.42803246,-72.02589183,BARRE FALLS DAM,1121,dam_study,True,False,True,True,False,True,6.212283,Low (4),20170301
MA00967,42.1197522,-71.87988053,HODGES VILLAGE DAM,5446,dam_study,True,True,True,True,False,True,6.605682,Low (4),20201112
MO12099,39.01659639,-94.33955747,BLUE SPRINGS DAM,181,dam_study,True,False,True,True,True,True,6.610318,Low (4),20090127
NH00005,42.89394924,-71.98640121,EDWARD MACDOWELL DAM,208,dam_study,True,False,True,True,True,True,6.637445,Moderate (3),20140502
NE01057,40.83880665,-96.86559467,PAWNEE DAM,178,dam_study,True,False,True,True,True,True,6.871873,Moderate (3),20190919
OR00612,42.67048024,-122.6743165,WILLIAM L. JESS DAM,186,dam_study,True,False,True,True,True,True,6.983584,Moderate (3),20171027
MT00652,48.41028848,-115.3142655,LIBBY DAM,1119,dam_study,True,False,True,False,True,True,6.988244,Moderate (3),20160515
CT00503,41.75575454,-72.18145231,MANSFIELD HOLLOW DAM,354,dam_study,True,False,True,True,True,True,7.134707,Low (4),20180205
KY03046,36.96099677,-84.26800149,LAUREL DAM,1060,dam_study,True,False,True,True,True,True,7.317805,Low (4),20180514
PA00921,40.37903275,-76.03142669,BLUE MARSH DAM,962,dam_study,True,False,True,True,True,True,7.352948,Moderate (3),20160428
CT00508,41.65764318,-73.1054137,BLACK ROCK DAM,758,dam_study,True,False,True,True,True,True,7.449958,Low (4),20150615
TX05996,33.79692805,-99.83479781,TRUSCOTT BRINE DAM,5181,dam_study,True,True,True,True,False,True,7.46423,Low (4),20191011
IA00014,41.79307259,-93.7301833,BIG CREEK DIVERSION DAM,280,dam_study,True,False,True,True,True,True,7.559508,Low (4),20190530
KY03029,37.736823,-82.729211,DEWEY DAM,1036,dam_study,True,False,True,True,True,True,7.636608,Low (4),20090512
KY03056,37.23002555,-83.03348987,CARR CREEK DAM,956,dam_study,True,False,True,True,True,True,7.798782,Low (4),20140128
OH00012,40.26907854,-81.27656712,CLENDENING DAM,748,dam_study,True,False,True,True,True,True,8.129962,Moderate (3),20160116
PA00106,40.45684379,-79.45147968,LOYALHANNA DAM,1126,dam_study,True,False,True,True,True,True,8.151607,Low (4),20161107
OH00009,40.50574431,-82.5765247,NORTH BRANCH KOKOSING DAM,4906,dam_study,True,True,True,True,False,True,8.284517,Moderate (3),20210623
VT00002,43.60466917,-72.36088656,NORTH HARTLAND DAM,959,dam_study,True,False,True,True,True,True,8.338001,Moderate (3),20150711
VT00005,43.79358941,-72.25796905,UNION VILLAGE DAM,224,dam_study,True,False,True,True,False,True,8.563257,Low (4),20150731
PA00003,40.95411375,-78.52627634,CURWENSVILLE DAM,382,dam_study,True,False,True,True,True,True,8.625624,Low (4),20120503
CA10201,39.198799,-123.1833,COYOTE VALLEY DAM,777,dam_study,True,False,True,True,True,True,8.877736,Moderate (3),20121105
NE01063,40.970001,-96.853333,BRANCHED OAK DAM,176,dam_study,True,False,True,True,True,True,8.905533,Moderate (3),20170712
CT00504,41.51423404,-73.06647769,HOP BROOK DAM,203,dam_study,True,False,True,True,False,True,8.92073,Low (4),20140307
GA01701,33.66117856,-82.19965703,J. STROM THURMOND DAM,314,dam_study,True,False,True,True,True,True,9.189807,Low (4),20150515
NH00001,43.31611461,-71.72218921,BLACKWATER DAM,4103,dam_study,True,False,True,True,True,True,9.270926,Low (4),20181126
KY03028,37.431671,-82.416672,FISHTRAP DAM,4085,dam_study,True,False,True,True,True,True,9.435223,Low (4),20201114
NE01882,41.17257938,-96.1512037,WEHRSPANN DAM,4846,dam_study,True,True,True,True,False,True,9.50499,Very Low (5),20190530
VA051001,37.23316995,-82.34459146,JOHN W FLANNAGAN DAM,1028,dam_study,True,False,True,True,True,True,9.664279,Moderate (3),20180514
PA00011,41.58933525,-75.3275816,PROMPTON DAM,764,dam_study,True,False,True,True,True,True,9.826797,Low (4),20211202
OH00028,39.950001,-83.746674,CLARENCE J. BROWN DAM,1120,dam_study,True,False,True,True,True,True,9.850629,Low (4),20151028
MO30201,37.90074832,-93.32050796,POMME DE TERRE DAM,236,dam_study,True,False,True,True,True,True,10.039091,Low (4),20130626
