ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
VA089001,36.78151177,-80.02744918,PHILPOTT DAM,934,dam_study,True,False,True,True,True,True,10.461476,Moderate (3),20130226
PA00109,39.79851074,-79.36902974,YOUGHIOGHENY DAM,755,dam_study,True,False,True,True,True,True,10.726653,Moderate (3),20200721
WA00300,47.14096557,-121.9333295,MUD MOUNTAIN DAM,83,dam_study,True,False,True,False,False,True,10.812027,Low (4),20200314
WV00707,38.84267522,-80.62066816,BURNSVILLE DAM,2700,dam_study,True,False,True,True,True,True,11.372859,Moderate (3),20181107
KY03051,38.00409807,-85.30750163,TAYLORSVILLE LAKE DAM,982,dam_study,True,False,True,True,True,True,11.465094,Low (4),20150128
OH00005,40.63697951,-81.55737561,BEACH CITY DAM,212,dam_study,True,False,True,True,True,True,11.507363,Low (4),20080616
OH00013,39.92524657,-81.43522379,SENECAVILLE DAM,1517,dam_study,True,False,True,True,True,True,11.536505,Low (4),20180205
CO00050,37.14285508,-104.5516137,TRINIDAD DAM,248,dam_study,True,False,True,True,False,True,11.590207,Low (4),20180905
NH00002,43.09300475,-71.65986852,EVERETT DAM,5160,dam_study,True,True,True,True,False,True,11.700897,Moderate (3),20141029
OH00007,39.99221569,-82.07993714,DILLON DAM,981,dam_study,True,False,True,True,True,True,11.84287,Low (4),20170527
VA117002,36.549999,-78.466667,ISLAND CREEK DAM,5675,dam_study,True,True,True,True,False,True,11.911573,Low (4),20210831
ND00147,45.98141058,-103.2463061,Bowman-Haley Dam,5461,dam_study,True,True,True,True,False,True,11.951567,Low (4),20220811
OH00014,40.46914272,-81.19467284,LEESVILLE DAM,4390,dam_study,True,True,True,True,False,True,12.033869,Low (4),20190530
OH00008,39.62209178,-83.21523076,DEER CREEK DAM,980,dam_study,True,False,True,True,True,True,12.060549,Low (4),20180514
CT00505,41.681603,-73.09046148,NORTHFIELD BROOK DAM,1063,dam_study,True,False,True,False,False,True,12.064249,Low (4),20211202
KY03027,37.34063698,-83.47054612,BUCKHORN DAM,746,dam_study,True,False,True,True,True,True,12.130415,Low (4),20221110
OH00006,40.5266258,-81.2861344,ATWOOD DAM,1038,dam_study,True,False,True,True,True,True,12.181215,Moderate (3),20180514
WV09101,39.31323342,-80.03366043,TYGART DAM,1434,dam_study,True,False,True,True,True,True,12.529764,Very Low (5),20180906
OH00011,40.19006537,-81.21302002,PIEDMONT DAM,5173,dam_study,True,True,True,True,False,True,12.637586,Low (4),20200312
NE02185,41.2204528,-96.16072353,ZORINSKY DAM,3983,dam_study,True,False,True,True,True,True,12.670634,Very Low (5),20180711
AR01202,34.14375099,-94.09863281,DIERKS DAM,1027,dam_study,True,False,True,True,True,True,12.719627,Very Low (5),20181126
OH00017,39.25056107,-83.3545731,PAINT CREEK DAM,349,dam_study,True,False,True,True,True,True,13.084861,Low (4),20190828
ND00310,48.40468234,-97.79128719,HOMME DAM,1008,dam_study,True,False,True,True,True,True,13.229723,Low (4),20160323
CT00507,41.62193789,-73.03747802,HANCOCK BROOK DAM,1062,dam_study,True,False,True,True,True,True,13.253454,Low (4),20161216
OH00929,39.02277503,-84.15056176,WILLIAM H. HARSHA DAM,1122,dam_study,True,False,True,True,True,True,13.329637,Low (4),20160505
OH00002,40.15639349,-81.84706426,WILLS CREEK DAM,5426,dam_study,True,True,True,True,False,True,13.364426,Low (4),20200428
GA00822,34.60313897,-84.69358373,CARTERS REREGULATION DAM,744,dam_study,True,False,True,True,True,True,13.748824,Low (4),20141105
NE01518,41.3635091,-96.05701667,CUNNINGHAM DAM,147,dam_study,True,False,True,True,True,True,13.791598,Very Low (5),20170930
PA01132,41.89803347,-77.13524622,TIOGA DAM,391,dam_study,True,False,True,True,True,True,13.821982,Low (4),20180914
OH00019,40.72569835,-82.15388625,MOHICANVILLE DAM,3601,dam_study,True,False,True,True,False,True,14.423488,Low (4),20181126
VA005001,37.95108157,-79.95681956,GATHRIGHT DAM,377,dam_study,True,False,True,True,True,True,14.633603,Moderate (3),20160131
