ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size
MA00967,42.1197522,-71.87988053,HODGES VILLAGE DAM,5446,dam_study,True,True,True,True,False,True,6.605682
MO12099,39.01659639,-94.33955747,BLUE SPRINGS DAM,181,dam_study,True,False,True,True,True,True,6.610318
NH00005,42.89394924,-71.98640121,EDWARD MACDOWELL DAM,208,dam_study,True,False,True,True,True,True,6.637445
NE01057,40.83880665,-96.86559467,PAWNEE DAM,178,dam_study,True,False,True,True,True,True,6.871873
OR00612,42.67048024,-122.6743165,WILLIAM L. JESS DAM,186,dam_study,True,False,True,True,True,True,6.983584
MT00652,48.41028848,-115.3142655,LIBBY DAM,1119,dam_study,True,False,True,False,True,True,6.988244
CT00503,41.75575454,-72.18145231,MANSFIELD HOLLOW DAM,354,dam_study,True,False,True,True,True,True,7.134707
MA00965,42.07348537,-72.29041441,CONANT BROOK DAM,1084,dam_study,True,False,True,True,False,False,7.152548
KY03046,36.96099677,-84.26800149,LAUREL DAM,1060,dam_study,True,False,True,True,True,True,7.317805
PA00921,40.37903275,-76.03142669,BLUE MARSH DAM,962,dam_study,True,False,True,True,True,True,7.352948
PA00001S001,41.528989,-75.519994,AYLESWORTH CREEK DAM - MAYFIELD DIKE,5150,dam_study,True,True,True,False,False,False,7.429986
CT00508,41.65764318,-73.1054137,BLACK ROCK DAM,758,dam_study,True,False,True,True,True,True,7.449958
TX05996,33.79692805,-99.83479781,TRUSCOTT BRINE DAM,5181,dam_study,True,True,True,True,False,True,7.46423
IA00014,41.79307259,-93.7301833,BIG CREEK DIVERSION DAM,280,dam_study,True,False,True,True,True,True,7.559508
KY03029,37.736823,-82.729211,DEWEY DAM,1036,dam_study,True,False,True,True,True,True,7.636608
KY03056,37.23002555,-83.03348987,CARR CREEK DAM,956,dam_study,True,False,True,True,True,True,7.798782
OH00012,40.26907854,-81.27656712,CLENDENING DAM,748,dam_study,True,False,True,True,True,True,8.129962
PA00106,40.45684379,-79.45147968,LOYALHANNA DAM,1126,dam_study,True,False,True,True,True,True,8.151607
OH00009,40.50574431,-82.5765247,NORTH BRANCH KOKOSING DAM,4906,dam_study,True,True,True,True,False,True,8.284517
VT00002,43.60466917,-72.36088656,NORTH HARTLAND DAM,959,dam_study,True,False,True,True,True,True,8.338001
NH00001S001,43.31667,-71.72333,BLACKWATER DAM - DODGE ESTATE DIKE,4103,dam_study,True,False,True,False,False,False,8.404038
VT00005,43.79358941,-72.25796905,UNION VILLAGE DAM,224,dam_study,True,False,True,True,False,True,8.563257
PA00003,40.95411375,-78.52627634,CURWENSVILLE DAM,382,dam_study,True,False,True,True,True,True,8.625624
NH00001S002,43.31667,-71.72333,BLACKWATER DAM - LITTLE HILL DIKE,4103,dam_study,True,False,True,False,False,False,8.65863
CA10201,39.198799,-123.1833,COYOTE VALLEY DAM,777,dam_study,True,False,True,True,True,True,8.877736
NE01063,40.970001,-96.853333,BRANCHED OAK DAM,176,dam_study,True,False,True,True,True,True,8.905533
CT00504,41.51423404,-73.06647769,HOP BROOK DAM,203,dam_study,True,False,True,True,False,True,8.92073
NH00003,43.46894782,-71.65930664,FRANKLIN FALLS DAM,760,dam_study,True,False,False,True,True,True,9.145785
GA01701,33.66117856,-82.19965703,J. STROM THURMOND DAM,314,dam_study,True,False,True,True,True,True,9.189807
NH00001,43.31611461,-71.72218921,BLACKWATER DAM,4103,dam_study,True,False,True,True,True,True,9.270926
KY03028,37.431671,-82.416672,FISHTRAP DAM,4085,dam_study,True,False,True,True,True,True,9.435223
NE01882,41.17257938,-96.1512037,WEHRSPANN DAM,4846,dam_study,True,True,True,True,False,True,9.50499
VA051001,37.23316995,-82.34459146,JOHN W FLANNAGAN DAM,1028,dam_study,True,False,True,True,True,True,9.664279
PA00011,41.58933525,-75.3275816,PROMPTON DAM,764,dam_study,True,False,True,True,True,True,9.826797
OH00028,39.950001,-83.746674,CLARENCE J. BROWN DAM,1120,dam_study,True,False,True,True,True,True,9.850629
MO30201,37.90074832,-93.32050796,POMME DE TERRE DAM,236,dam_study,True,False,True,True,True,True,10.039091
OH00007S002,40.03315,-82.07903,DILLON DAM - PLEASANT VALLEY DIKE,981,dam_study,True,False,True,False,False,False,10.279827
VA089001,36.78151177,-80.02744918,PHILPOTT DAM,934,dam_study,True,False,True,True,True,True,10.461476
PA00109,39.79851074,-79.36902974,YOUGHIOGHENY DAM,755,dam_study,True,False,True,True,True,True,10.726653
OH00003S005,40.61136811,-81.42488034,DOVER DAM - ZOAR LEVEE,153,dam_study,True,False,True,False,False,False,10.74795
WA00300,47.14096557,-121.9333295,MUD MOUNTAIN DAM,83,dam_study,True,False,True,False,False,True,10.812027
NH00002S002,43.09386978,-71.66196536,EVERETT DAM - DIKE 2,5160,dam_study,True,True,False,False,False,False,11.155137
MA00965S001,42.0751175,-72.29018021,CONANT BROOK DAM - DIKE,1533,dam_study,True,False,True,False,False,False,11.255067
WV00707,38.84267522,-80.62066816,BURNSVILLE DAM,2700,dam_study,True,False,True,True,True,True,11.372859
KY03051,38.00409807,-85.30750163,TAYLORSVILLE LAKE DAM,982,dam_study,True,False,True,True,True,True,11.465094
OH00005,40.63697951,-81.55737561,BEACH CITY DAM,212,dam_study,True,False,True,True,True,True,11.507363
OH00013,39.92524657,-81.43522379,SENECAVILLE DAM,1517,dam_study,True,False,True,True,True,True,11.536505
NH00002S001,43.09431167,-71.65902303,EVERETT DAM - DIKE 1,5160,dam_study,True,True,False,False,False,False,11.553335
CO00050,37.14285508,-104.5516137,TRINIDAD DAM,248,dam_study,True,False,True,True,False,True,11.590207
NH00002,43.09300475,-71.65986852,EVERETT DAM,5160,dam_study,True,True,True,True,False,True,11.700897
OH00007S001,40.07494946,-82.15691032,DILLON DAM - NASHPORT DIKE,981,dam_study,True,False,True,False,False,False,11.834014
OH00007,39.99221569,-82.07993714,DILLON DAM,981,dam_study,True,False,True,True,True,True,11.84287
VA117002,36.549999,-78.466667,ISLAND CREEK DAM,5675,dam_study,True,True,True,True,False,True,11.911573
ND00147,45.98141058,-103.2463061,Bowman-Haley Dam,5461,dam_study,True,True,True,True,False,True,11.951567
OH00014,40.46914272,-81.19467284,LEESVILLE DAM,4390,dam_study,True,True,True,True,False,True,12.033869
OH00008,39.62209178,-83.21523076,DEER CREEK DAM,980,dam_study,True,False,True,True,True,True,12.060549
CT00505,41.681603,-73.09046148,NORTHFIELD BROOK DAM,1063,dam_study,True,False,True,False,False,True,12.064249
KY03027,37.34063698,-83.47054612,BUCKHORN DAM,746,dam_study,True,False,True,True,True,True,12.130415
OH00006,40.5266258,-81.2861344,ATWOOD DAM,1038,dam_study,True,False,True,True,True,True,12.181215
OH00019S001,40.70373,-82.08947,MOHICANVILLE DAM - DIKE 1,3601,dam_study,True,False,False,False,False,False,12.231054
PA00009,41.61210736,-75.26551065,GENERAL EDGAR JADWIN DAM,1435,dam_study,True,False,True,True,False,False,12.43715
WV09101,39.31323342,-80.03366043,TYGART DAM,1434,dam_study,True,False,True,True,True,True,12.529764
OH00011,40.19006537,-81.21302002,PIEDMONT DAM,5173,dam_study,True,True,True,True,False,True,12.637586
NE02185,41.2204528,-96.16072353,ZORINSKY DAM,3983,dam_study,True,False,True,True,True,True,12.670634
AR01202,34.14375099,-94.09863281,DIERKS DAM,1027,dam_study,True,False,True,True,True,True,12.719627
OH00017,39.25056107,-83.3545731,PAINT CREEK DAM,349,dam_study,True,False,True,True,True,True,13.084861
ND00310,48.40468234,-97.79128719,HOMME DAM,1008,dam_study,True,False,True,True,True,True,13.229723
CT00507,41.62193789,-73.03747802,HANCOCK BROOK DAM,1062,dam_study,True,False,True,True,True,True,13.253454
OH00929,39.02277503,-84.15056176,WILLIAM H. HARSHA DAM,1122,dam_study,True,False,True,True,True,True,13.329637
OH00002,40.15639349,-81.84706426,WILLS CREEK DAM,5426,dam_study,True,True,True,True,False,True,13.364426
OH00019S002,40.69577,-82.0686,MOHICANVILLE DAM - DIKE 2,3601,dam_study,True,False,True,False,False,False,13.660179
CT00507S001,41.62559961,-73.03058771,HANCOCK BROOK DAM - RAILROAD DIKE,1444,dam_study,True,False,False,False,False,False,13.722165
GA00822,34.60313897,-84.69358373,CARTERS REREGULATION DAM,744,dam_study,True,False,True,True,True,True,13.748824
NE01518,41.3635091,-96.05701667,CUNNINGHAM DAM,147,dam_study,True,False,True,True,True,True,13.791598
PA01132,41.89803347,-77.13524622,TIOGA DAM,391,dam_study,True,False,True,True,True,True,13.821982
OH00019,40.72569835,-82.15388625,MOHICANVILLE DAM,3601,dam_study,True,False,True,True,False,True,14.423488
VA005001,37.95108157,-79.95681956,GATHRIGHT DAM,377,dam_study,True,False,True,True,True,True,14.633603
MO11176,39.75077713,-92.51437502,LONG BRANCH DAM,5147,dam_study,True,True,True,True,False,True,14.661078
IA00012S001,41.7971,-91.860298,CORALVILLE DAM - AMANA REMEDIAL WORKS,1107,dam_study,True,False,False,False,False,False,14.684984
OH00010,40.35888456,-81.22663965,TAPPAN DAM,1524,dam_study,True,False,True,True,True,True,15.191366
KY03055,38.11760874,-83.53267552,CAVE RUN DAM,2819,dam_study,True,False,True,True,True,True,15.214648
PA01133,41.89939463,-77.14694582,HAMMOND DAM,201,dam_study,True,False,True,True,True,True,15.687044
OH00931,40.18724446,-82.96335079,ALUM CREEK DAM,253,dam_study,True,False,True,True,True,True,15.982872
VT00004,43.05192465,-72.70385765,TOWNSHEND DAM,2812,dam_study,True,False,True,True,True,True,16.264831
PA00010,40.85138894,-75.63961711,BELTZVILLE DAM,6207,dam_study,True,True,True,True,False,False,17.538301
KS00026,38.923328,-95.330002,CLINTON DAM,179,dam_study,True,False,True,True,True,True,17.584791
OH00003S003,40.56822,-81.36037,DOVER DAM - SOMERDALE LEVEE,1481,dam_study,True,False,True,False,False,False,17.891463
IN03006S001,40.82144581,-85.34721414,J. EDWARD ROUSH DAM - MARKLE LEVEE,5163,dam_study,True,True,True,True,False,False,17.89165
NH00004,43.18863184,-71.74764136,HOPKINTON DAM,7071,dam_study,True,True,True,True,False,True,17.989279
MS03060,34.25786895,-88.42488916,FULTON LOCK AND DAM,1531,dam_study,True,False,True,False,False,True,18.354542
MN00580,45.0219407,-95.86913647,LAC QUI PARLE DAM,1041,dam_study,True,False,True,True,True,True,18.616055
PA00006,41.69687386,-75.48595151,STILLWATER DAM,1022,dam_study,True,False,True,True,True,True,18.868036
NC00300,36.13441524,-81.22596408,W. KERR SCOTT DAM,6212,dam_study,True,True,True,True,False,True,19.007569
OR00012,44.41561373,-122.6701612,FOSTER DAM,189,dam_study,True,False,True,True,True,True,19.356419
WV00701,38.66160057,-80.69293662,SUTTON DAM,5178,dam_study,True,True,True,True,False,True,19.642786
MO30200,37.69190358,-93.75950389,STOCKTON DAM,182,dam_study,True,False,True,True,True,True,19.664162
IN03005S001,40.74635373,-85.50767595,SALAMONIE DAM - LANCASTER LEVEE AND DIKE,5176,dam_study,True,True,False,False,False,False,19.698728
OR00624,42.05601063,-123.1149774,APPLEGATE DAM,5149,dam_study,True,True,True,True,False,True,19.726839
OH00016,40.35162373,-82.0888643,MOHAWK DAM,141,dam_study,True,False,True,True,True,True,19.901005
IN03018,38.43433855,-86.70758984,PATOKA DAM,222,dam_study,True,False,True,True,True,True,19.955642
WV06702S001,38.2227,-80.9119,SUMMERSVILLE DAM - DIKE 1,4062,dam_study,True,False,False,False,False,False,20.241728
MS03060S001,34.26642709,-88.42367339,FULTON LOCK AND DAM - RING DIKE,1483,dam_study,True,False,True,False,False,True,20.270937
WI00780,44.85593096,-92.23968034,EAU GALLE DAM,5456,dam_study,True,True,True,True,False,True,20.601321
TN15901,36.29032507,-85.94362774,CORDELL HULL LOCK AND DAM,257,dam_study,True,False,True,True,True,True,20.743585
OH00003,40.55769965,-81.41253666,DOVER DAM,239,dam_study,True,False,True,True,True,True,20.892751
OR00015,44.12788372,-122.2410845,COUGAR DAM,172,dam_study,True,False,True,True,True,True,20.91412
AL01427,33.45840141,-87.35635756,JOHN HOLLIS BANKHEAD LOCKS AND DAM,1146,dam_study,True,False,True,False,False,True,21.165534
MA00970,42.64301651,-72.22367825,TULLY DAM,7107,dam_study,True,True,True,True,False,True,21.429563
MI00650,46.50422236,-84.34961423,SOO LOCKS,365,dam_study,True,False,False,True,True,True,21.708978
WV06702S002,38.23234368,-80.91014189,SUMMERSVILLE DAM - DIKE 2,4062,dam_study,True,False,False,False,False,False,21.790443
IN03001,39.00820671,-86.51133105,MONROE DAM,1030,dam_study,True,False,True,True,True,True,22.249443
PA00105,41.83931931,-79.00299055,KINZUA DAM,295,dam_study,True,False,True,True,True,True,22.541273
NM00003,35.3941615,-106.5466189,JEMEZ CANYON DAM,277,dam_study,True,False,True,True,True,True,22.614338
NH00007,42.99778047,-72.3092611,SURRY MOUNTAIN DAM,5246,dam_study,True,True,True,True,True,True,23.221542
KS00027,37.84264228,-96.81845602,EL DORADO DAM,1065,dam_study,True,False,True,True,True,True,23.586822
OR00006,43.92119299,-122.8081892,DEXTER DAM,129,dam_study,True,False,True,True,True,True,23.617048
CT00501,41.69501637,-73.0623066,THOMASTON DAM,5180,dam_study,True,True,True,True,False,True,23.638116
PA00110,41.47543491,-79.44538287,TIONESTA DAM,5146,dam_study,True,True,True,True,False,True,23.660121
AR00174S001,36.416672,-93.848328,BEAVER DAM - SADDLE DIKE 3,1511,dam_study,True,False,False,False,False,False,23.802755
MA00968,42.2650919,-72.88172606,LITTLEVILLE DAM,723,dam_study,True,False,True,True,True,True,24.507099
CA10021,34.34362942,-117.2346835,Mojave River Dam,1026,dam_study,True,False,True,False,False,False,24.775409
ND00309,47.03467792,-98.07885544,BALDHILL DAM,954,dam_study,True,False,True,True,True,True,24.826256
OR00004,44.72173131,-122.2500998,DETROIT DAM,139,dam_study,True,False,True,True,True,True,24.973533
GA00821,34.613331,-84.670295,CARTERS MAIN DAM,945,dam_study,True,False,True,True,True,True,25.373896
WV06702,38.22235664,-80.89067204,SUMMERSVILLE DAM,4062,dam_study,True,False,True,True,True,True,26.167385
OR00010,44.45006265,-122.5488478,GREEN PETER DAM,142,dam_study,True,False,True,True,True,True,26.457901
OH00004,40.65662777,-81.42927859,BOLIVAR DAM,206,dam_study,True,False,True,True,False,True,26.462694
MA00964,42.118328,-71.908333,BUFFUMVILLE DAM,1117,dam_study,True,False,True,True,True,True,27.00857
OR00007,43.946671,-122.7567,FALL CREEK DAM,1443,dam_study,True,False,True,True,True,True,27.348036
OH00005S003,40.70229338,-81.59513329,BEACH CITY DAM - BREWSTER LEVEE,4286,dam_study,True,False,True,False,False,False,28.122415
PA00102,40.71529559,-79.51018869,CROOKED CREEK DAM,1542,dam_study,True,False,True,True,True,True,28.435179
